City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,bell ville,-32.6259,-62.6887,37.04,17,0,5.12,AR,1678725997
321,hualmay,-11.0964,-77.6139,24.98,76,100,2.84,PE,1678725997
322,graneros,-34.0667,-70.7333,24.1,57,0,3.09,CL,1678725997
323,vieux-habitants,16.0589,-61.7659,29.76,72,30,3.72,GP,1678725998
324,maku,39.2911,44.4521,11.95,36,97,0.74,IR,1678725998
325,grand-lahou,5.1367,-5.0242,28.76,68,9,3.57,CI,1678725998
326,enshi,30.3,109.4833,11.18,82,0,0.43,CN,1678725999
327,oga,46.4631,10.347,7.38,91,77,3.62,IT,1678725999
328,farafangana,-22.8167,47.8333,23.87,84,91,3.89,MG,1678725999
329,baghdad,33.3406,44.4009,19.95,64,0,4.12,IQ,1678725909
330,shimoda,34.6667,138.95,8.95,75,56,6.15,JP,1678726000
331,general roca,-39.0333,-67.5833,29.02,23,50,1.62,AR,1678726000
332,muros,42.7762,-9.0603,14.35,77,35,9.55,ES,1678726001
333,bud,39.447,-86.1758,1.06,79,79,6.51,US,1678726001
334,pagsangahan,13.2158,122.5431,24.54,69,51,7.92,PH,1678726001
335,aksarka,66.5606,67.7975,1.59,99,100,9.73,RU,1678726002
336,guarda,40.5373,-7.2658,9.57,65,9,7.28,PT,1678726002
337,stanos,38.8,21.1667,13.03,62,9,1.6,GR,1678725934
338,pingliang,35.5392,106.6861,10.21,33,0,2.83,CN,1678726002
339,comrie,56.3791,-3.9949,3.49,92,100,6.13,GB,1678726003
340,la ronge,55.1001,-105.2842,-10.86,57,40,2.06,CA,1678725941
341,lusambo,-4.9667,23.45,22.23,90,93,0.6,CD,1678726003
342,yanam,16.7333,82.2167,21.52,85,46,0.26,IN,1678726004
343,povenets,62.8487,34.8262,-6.81,88,21,4.91,RU,1678726004
344,redmond,47.674,-122.1215,6.52,92,100,1.34,US,1678726004
345,lodja,-3.4833,23.4333,23.4,85,100,0.47,CD,1678726005
346,necochea,-38.5473,-58.7368,33.46,37,40,4.75,AR,1678726005
347,sarlat-la-caneda,44.889,1.2166,13.85,85,66,4.88,FR,1678726005
348,bereznik,62.8551,42.7072,-5.46,90,100,6.06,RU,1678726006
349,nizhniy mamon,50.1937,40.5083,0.74,56,4,2.45,RU,1678726006
350,morant bay,17.8815,-76.4093,30.39,61,5,4.15,JM,1678726006
351,omsukchan,62.5333,155.8,-11.34,92,100,1.99,RU,1678726007
352,hambantota,6.1241,81.1185,25.92,82,100,6.5,LK,1678726007
353,lebu,-37.6167,-73.65,17.82,67,9,4.17,CL,1678726007
354,baturaja,-4.1333,104.1667,22.97,98,100,1.39,ID,1678726008
355,qaqortoq,60.7167,-46.0333,-3.44,67,13,1.21,GL,1678726008
356,mecca,21.4267,39.8261,25.6,22,7,5.01,SA,1678725874
357,pareora,-44.4871,171.2132,9.54,94,3,1.85,NZ,1678726009
358,palora,-1.7,-77.9333,22.06,60,90,1.97,EC,1678726009
359,faya,18.3851,42.4509,14.06,75,100,2.73,SA,1678726009
360,dunedin,-45.8742,170.5036,12.11,70,69,4.02,NZ,1678725846
361,llanes,43.4198,-4.7549,17.16,60,70,9.16,ES,1678726010
362,prachuap khiri khan,12.2167,99.75,20.66,87,90,1.33,TH,1678726011
